lang,proc,op,median
julia,1,write,0.0010339245
julia,2,write,0.001058155
julia,4,write,0.0012293655
julia,8,write,0.001221875
julia,16,write,0.001245707
julia,1,reads,0.0012187315
julia,2,reads,0.001226545
julia,4,reads,0.0015552555
julia,8,reads,0.0015528035
julia,16,reads,0.0015595125
julia,1,flops,0.0014888055
julia,2,flops,0.0014957955
julia,4,flops,0.001904916
julia,8,flops,0.0019049785
julia,16,flops,0.0019124385
julia,1,comms,0.396727918
julia,2,comms,0.4181918955
julia,4,comms,0.9112118865
julia,8,comms,1.898036254
julia,16,comms,1.590183192155052e9
CPP,1,write,0.0004267305
CPP,2,write,0.0004703795
CPP,4,write,0.000517746
CPP,8,write,0.0006326055
CPP,16,write,0.0008762445
CPP,1,reads,0.0001852915
CPP,2,reads,0.000185421
CPP,4,reads,0.00023823
CPP,8,reads,0.000238287
CPP,16,reads,0.000238414
CPP,1,flops,0.001481585
CPP,2,flops,0.001689961
CPP,4,flops,0.0017716365
CPP,8,flops,0.001905122
CPP,16,flops,0.001912799
CPP,1,comms,0.0066491895
CPP,2,comms,0.008885724
CPP,4,comms,0.0155693405
CPP,8,comms,0.0176551975
CPP,16,comms,0.0180484515
